epsilon,is_neural,method,metric,n_sample,rank,scenario,scenario_label,value
0.2,0,mrp_rr_poststrat,mean_overall_l1,500,1,no_bias,no_bias,0.1362523557722568
0.2,0,raw_reported_distribution,mean_overall_l1,500,2,no_bias,no_bias,0.16200000000000003
0.2,0,mrp_misreport_rr_poststrat,mean_overall_l1,500,3,no_bias,no_bias,0.21355350896590292
0.2,0,mrp_learned_misreport_rr_poststrat,mean_overall_l1,500,4,no_bias,no_bias,0.23135635369880395
0.2,1,neural_rr_mrp,mean_overall_l1,500,5,no_bias,no_bias,0.2360545010947323
0.2,0,baseline_rr_debias,mean_overall_l1,500,6,no_bias,no_bias,1.010512477149713
0.2,0,mrp_rr_poststrat,mean_weighted_region_l1,500,1,no_bias,no_bias,0.396549862408638
0.2,0,mrp_misreport_rr_poststrat,mean_weighted_region_l1,500,2,no_bias,no_bias,0.42231143062077314
0.2,1,neural_rr_mrp,mean_weighted_region_l1,500,3,no_bias,no_bias,0.4276107455380398
0.2,0,mrp_learned_misreport_rr_poststrat,mean_weighted_region_l1,500,4,no_bias,no_bias,0.4290672627083072
0.2,0,raw_reported_distribution,mean_weighted_region_l1,500,5,no_bias,no_bias,0.46237855176483483
0.2,0,baseline_rr_debias,mean_weighted_region_l1,500,6,no_bias,no_bias,0.9628894414568318
0.2,0,mrp_rr_poststrat,mean_weighted_age_l1,500,1,no_bias,no_bias,0.2857430320620537
0.2,0,mrp_misreport_rr_poststrat,mean_weighted_age_l1,500,2,no_bias,no_bias,0.33138961369626474
0.2,0,mrp_learned_misreport_rr_poststrat,mean_weighted_age_l1,500,3,no_bias,no_bias,0.34212387464071253
0.2,1,neural_rr_mrp,mean_weighted_age_l1,500,4,no_bias,no_bias,0.36161686568893414
0.2,0,raw_reported_distribution,mean_weighted_age_l1,500,5,no_bias,no_bias,0.3789803337405715
0.2,0,baseline_rr_debias,mean_weighted_age_l1,500,6,no_bias,no_bias,1.0105831676407382
0.2,0,raw_reported_distribution,mean_runtime_sec,500,1,no_bias,no_bias,0.00045090699995853356
0.2,0,baseline_rr_debias,mean_runtime_sec,500,2,no_bias,no_bias,0.0012200959999972838
0.2,0,mrp_misreport_rr_poststrat,mean_runtime_sec,500,3,no_bias,no_bias,0.002827409000019543
0.2,0,mrp_rr_poststrat,mean_runtime_sec,500,4,no_bias,no_bias,0.0028971820001970627
0.2,0,mrp_learned_misreport_rr_poststrat,mean_runtime_sec,500,5,no_bias,no_bias,0.003433946000313881
0.2,1,neural_rr_mrp,mean_runtime_sec,500,6,no_bias,no_bias,0.015153485000155342
0.5,0,raw_reported_distribution,mean_overall_l1,500,1,no_bias,no_bias,0.17320000000000002
0.5,0,mrp_misreport_rr_poststrat,mean_overall_l1,500,2,no_bias,no_bias,0.21292016567845884
0.5,0,mrp_learned_misreport_rr_poststrat,mean_overall_l1,500,3,no_bias,no_bias,0.23080563937178794
0.5,1,neural_rr_mrp,mean_overall_l1,500,4,no_bias,no_bias,0.24957862483404022
0.5,0,mrp_rr_poststrat,mean_overall_l1,500,5,no_bias,no_bias,0.27787353110611435
0.5,0,baseline_rr_debias,mean_overall_l1,500,6,no_bias,no_bias,0.6482152284445329
0.5,0,mrp_misreport_rr_poststrat,mean_weighted_region_l1,500,1,no_bias,no_bias,0.42228461458308164
0.5,0,mrp_learned_misreport_rr_poststrat,mean_weighted_region_l1,500,2,no_bias,no_bias,0.42907699339912286
0.5,0,raw_reported_distribution,mean_weighted_region_l1,500,3,no_bias,no_bias,0.45905638104610336
0.5,0,mrp_rr_poststrat,mean_weighted_region_l1,500,4,no_bias,no_bias,0.4710506143480539
0.5,1,neural_rr_mrp,mean_weighted_region_l1,500,5,no_bias,no_bias,0.4826205582059007
0.5,0,baseline_rr_debias,mean_weighted_region_l1,500,6,no_bias,no_bias,0.9246226294847195
0.5,0,raw_reported_distribution,mean_weighted_age_l1,500,1,no_bias,no_bias,0.2887439141739543
0.5,0,mrp_misreport_rr_poststrat,mean_weighted_age_l1,500,2,no_bias,no_bias,0.3313134438281433
0.5,0,mrp_learned_misreport_rr_poststrat,mean_weighted_age_l1,500,3,no_bias,no_bias,0.34197409499653364
0.5,1,neural_rr_mrp,mean_weighted_age_l1,500,4,no_bias,no_bias,0.360307451107257
0.5,0,mrp_rr_poststrat,mean_weighted_age_l1,500,5,no_bias,no_bias,0.36704565596282485
0.5,0,baseline_rr_debias,mean_weighted_age_l1,500,6,no_bias,no_bias,0.8881859648342002
0.5,0,raw_reported_distribution,mean_runtime_sec,500,1,no_bias,no_bias,0.00031129199987844913
0.5,0,baseline_rr_debias,mean_runtime_sec,500,2,no_bias,no_bias,0.0010651789998519234
0.5,0,mrp_misreport_rr_poststrat,mean_runtime_sec,500,3,no_bias,no_bias,0.003141937000236794
0.5,0,mrp_rr_poststrat,mean_runtime_sec,500,4,no_bias,no_bias,0.0031522579997727007
0.5,0,mrp_learned_misreport_rr_poststrat,mean_runtime_sec,500,5,no_bias,no_bias,0.003320542999972531
0.5,1,neural_rr_mrp,mean_runtime_sec,500,6,no_bias,no_bias,0.012510641999597283
1.0,0,raw_reported_distribution,mean_overall_l1,500,1,no_bias,no_bias,0.182
1.0,0,mrp_misreport_rr_poststrat,mean_overall_l1,500,2,no_bias,no_bias,0.21201602073691872
1.0,0,mrp_rr_poststrat,mean_overall_l1,500,3,no_bias,no_bias,0.22092495321929456
1.0,0,mrp_learned_misreport_rr_poststrat,mean_overall_l1,500,4,no_bias,no_bias,0.22980710767848084
1.0,1,neural_rr_mrp,mean_overall_l1,500,5,no_bias,no_bias,0.23180985962113718
